full_name,age,position,Current Club,minutes_played_overall,goals_overall,assists_overall,cards_per_90_overall,conceded_per_90_overall,min_per_match,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders
Calum Chambers,27,Defender,Fulham,2587,2,0,0.31,1.7,83,198,399,143
Cameron John,23,Defender,Wolverhampton Wanderers,0,0,0,0.0,0.0,0,-1,-1,-1
Carl Jenkinson,30,Defender,Arsenal,166,0,0,0.0,1.08,55,-1,-1,-1
Carlos Sánchez,36,Midfielder,West Ham United,240,0,0,0.0,0.75,34,-1,-1,-1
Cedric Soares,31,Defender,Southampton,1494,1,2,0.24,1.57,83,204,124,127
Cenk Tosun,31,Forward,Everton,1050,3,3,0.26,1.37,42,74,37,-1
Cesar Azpilicueta,33,Defender,Chelsea,3403,1,5,0.11,1.0,90,260,116,33
Cesc Fabregas,35,Midfielder,Chelsea,175,0,0,0.51,1.03,29,-1,-1,-1
Charlie Austin,33,Forward,Southampton,980,2,2,0.09,1.29,39,105,73,-1
Charlie Daniels,36,Defender,AFC Bournemouth,1583,1,0,0.23,1.82,75,208,254,152
Charlie Taylor,29,Defender,Burnley,3240,0,1,0.06,1.47,85,381,239,111
Cheikhou Kouyaté,32,Midfielder,Crystal Palace,1897,0,2,0.14,1.14,61,323,161,-1
Chris Löwe,33,Defender,Huddersfield Town,2056,0,2,0.09,2.28,71,328,163,169
Chris Mepham,24,Defender,AFC Bournemouth,849,0,1,0.11,1.7,65,279,133,142
Chris Smalling,32,Defender,Manchester United,2128,1,0,0.04,1.44,89,246,294,106
Chris Wood,30,Forward,Burnley,2582,10,2,0.07,1.5,68,50,188,-1
Christian Atsu Twasam,30,Midfielder,Newcastle United,1487,1,0,0.12,0.97,53,206,271,-1
Christian Benteke,31,Forward,Crystal Palace,813,1,1,0.11,1.11,51,149,142,-1
Christian Eriksen,30,Midfielder,Tottenham Hotspur,2772,8,12,0.1,1.1,79,76,10,-1
Christian Fuchs,36,Defender,Leicester City,206,0,0,0.0,1.75,69,-1,-1,-1
Christian Kabasele,31,Defender,Watford,1587,0,0,0.23,1.42,76,393,402,101
Christopher Schindler,32,Defender,Huddersfield Town,3262,1,0,0.17,1.9,88,252,345,157
Ciaran Clark,33,Defender,Newcastle United,857,3,0,0.11,1.47,78,56,315,113
Claudio Bravo,39,Goalkeeper,Manchester City,0,0,0,0.0,0.0,0,-1,-1,-1
Collin Quaner,31,Forward,Huddersfield Town,37,0,0,0.0,4.86,19,-1,-1,-1
Connor Wickham,29,Forward,Crystal Palace,61,0,1,0.0,0.0,10,-1,-1,-1
Conor Coady,29,Midfielder,Wolverhampton Wanderers,3420,0,0,0.13,1.13,90,394,415,-1
Conor Coventry,22,Midfielder,West Ham United,0,0,0,0.0,0.0,0,-1,-1,-1
Craig Cathcart,33,Defender,Watford,3099,3,0,0.06,1.51,86,177,400,119
Curtis Jones,21,Midfielder,Liverpool,0,0,0,0.0,0.0,0,-1,-1,-1
Cyrus Christie,30,Defender,Fulham,1943,0,1,0.32,1.85,69,315,205,155
Dale Stephens,33,Midfielder,Brighton & Hove Albion,2487,1,1,0.29,1.56,83,247,224,-1
Dan Burn,30,Defender,Brighton & Hove Albion,0,0,0,0.0,0.0,0,-1,-1,-1
Dan Gosling,32,Midfielder,AFC Bournemouth,1737,2,1,0.41,1.61,69,158,206,-1
Daniel Amartey,27,Midfielder,Leicester City,640,0,0,0.28,1.27,71,343,313,-1
Daniel Sturridge,33,Forward,Liverpool,496,2,1,0.18,0.54,28,48,79,-1
Daniel Williams,33,Midfielder,Huddersfield Town,93,0,0,0.97,0.97,19,-1,-1,-1
Danilo,31,Defender,Manchester City,806,1,0,0.11,0.78,73,151,318,18
Danny Drinkwater,32,Midfielder,Chelsea,0,0,0,0.0,0.0,0,-1,-1,-1
Danny Ings,30,Forward,Southampton,1668,7,3,0.05,1.4,70,39,87,-1
Danny Rose,32,Defender,Tottenham Hotspur,1806,0,3,0.25,0.6,69,287,95,11
Danny Simpson,35,Defender,Leicester City,291,0,0,0.0,1.24,49,269,333,73
Danny Ward,29,Goalkeeper,Leicester City,0,0,0,0.0,0.0,0,-1,-1,-1
Danny Ward,31,Forward,Cardiff City,440,1,0,0.0,2.25,31,94,382,-1
Danny Welbeck,31,Forward,Arsenal,147,1,1,0.0,1.22,18,-1,-1,-1
Daryl Janmaat,33,Defender,Watford,1521,0,2,0.18,1.3,85,395,121,84
David Brooks,25,Forward,AFC Bournemouth,2278,7,5,0.12,1.54,76,68,66,-1
David Button,33,Goalkeeper,Brighton & Hove Albion,360,0,0,0.0,1.25,90,404,327,79
David de Gea,31,Goalkeeper,Manchester United,3420,0,0,0.03,1.34,90,310,419,91
David Junior Hoilett,32,Forward,Cardiff City,2142,3,1,0.17,1.76,67,137,220,-1
David Luiz,35,Defender,Chelsea,3239,3,2,0.08,0.97,90,186,198,27
David Silva,36,Midfielder,Manchester City,2411,6,8,0.11,0.52,73,88,22,-1
Davide Zappacosta,30,Defender,Chelsea,125,0,0,0.0,0.0,31,-1,-1,-1
Davinson Sánchez,26,Defender,Tottenham Hotspur,1943,1,1,0.09,0.97,84,221,208,26
Davy Pröpper,31,Midfielder,Brighton & Hove Albion,2551,1,1,0.07,1.55,85,241,226,-1
DeAndre Yedlin,29,Defender,Newcastle United,2475,1,2,0.29,1.35,85,237,177,93
Declan Rice,23,Midfielder,West Ham United,3005,2,0,0.12,1.26,88,210,362,-1
Dejan Lovren,33,Defender,Liverpool,985,1,0,0.09,0.64,76,173,324,15
Dele Alli,26,Midfielder,Tottenham Hotspur,1827,5,3,0.2,0.84,73,82,97,-1
Demarai Gray,26,Midfielder,Leicester City,1992,4,1,0.09,1.17,59,103,212,-1
Demeaco Duhaney,24,Defender,Huddersfield Town,46,0,0,0.0,0.0,46,-1,-1,-1
Denis Odoi,34,Defender,Fulham,2593,0,1,0.14,2.05,84,286,244,166
Denis Suárez,28,Midfielder,Arsenal,67,0,0,0.0,0.0,17,-1,-1,-1
Diego Rico,29,Defender,AFC Bournemouth,607,0,0,0.15,2.67,51,306,261,172
Diogo Dalot,23,Defender,Manchester United,1015,0,2,0.27,1.6,63,283,77,131
Diogo José Teixeira da Silva,25,Midfielder,Wolverhampton Wanderers,2371,9,5,0.42,1.1,72,52,71,-1
Divock Origi,27,Forward,Liverpool,366,3,1,0.0,0.49,31,2,42,-1
Domingos Quina,22,Midfielder,Watford,335,1,0,0.0,1.34,42,72,316,-1
Dominic Calvert-Lewin,25,Forward,Everton,1774,6,2,0.15,1.22,51,65,145,-1
Dominic Solanke,25,Forward,AFC Bournemouth,341,0,1,0.0,1.06,34,280,38,-1
Dwight McNeil,22,Forward,Burnley,1599,3,5,0.11,1.24,76,112,29,-1
